1ROI_100kx_4100CL_foil1.jpg,1,104,43,198,128
1ROI_100kx_4100CL_foil1.jpg,1,303,164,337,213
1ROI_100kx_4100CL_foil1.jpg,1,301,245,331,266
1ROI_100kx_4100CL_foil1.jpg,1,157,156,184,182
1ROI_100kx_4100CL_foil1.jpg,1,119,233,144,254
1ROI_100kx_4100CL_foil1.jpg,1,144,289,186,327
1ROI_100kx_4100CL_foil1.jpg,1,205,409,236,434
1ROI_100kx_4100CL_foil1.jpg,1,321,467,357,490
1ROI_100kx_4100CL_foil1.jpg,1,137,497,202,563
1ROI_100kx_4100CL_foil1.jpg,1,400,501,423,534
1ROI_100kx_4100CL_foil1.jpg,1,360,573,393,617
1ROI_100kx_4100CL_foil1.jpg,1,514,616,574,697
1ROI_100kx_4100CL_foil1.jpg,1,580,804,633,875
1ROI_100kx_4100CL_foil1.jpg,1,703,789,760,871
1ROI_100kx_4100CL_foil1.jpg,1,756,885,795,940
1ROI_100kx_4100CL_foil1.jpg,1,231,729,261,773
1ROI_100kx_4100CL_foil1.jpg,1,89,930,163,1004
1ROI_100kx_4100CL_foil1.jpg,1,844,291,917,376
1ROI_100kx_4100CL_foil1.jpg,1,193,829,227,873
1ROI_100kx_4100CL_foil1.jpg,1,1,872,32,920
1ROI_100kx_4100CL_foil1.jpg,1,15,498,31,518
1ROI_100kx_4100CL_foil1.jpg,1,302,558,319,577
1ROI_100kx_4100CL_foil1.jpg,1,807,581,863,617
1ROI_100kx_4100CL_foil1.jpg,1,642,323,671,369
1ROI_100kx_4100CL_foil1.jpg,1,484,267,511,287
1ROI_100kx_4100CL_foil1.jpg,1,477,54,500,77
1ROI_100kx_4100CL_foil1.jpg,1,231,109,262,131
1ROI_100kx_4100CL_foil1.jpg,1,223,46,246,75
1ROI_100kx_4100CL_foil1.jpg,1,364,766,391,797
1ROI_100kx_4100CL_foil1.jpg,1,418,705,456,760
1ROI_100kx_4100CL_foil1.jpg,1,566,789,585,818
